GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
untestable-code,com.jakubsprega.untestable.code.a,SamsungGalaxyS3,27,0,0,0,7,0,3,0,3,0
untestable-code,com.jakubsprega.untestable.code.a,SamsungGsmModule,28,0,2,0,12,0,5,0,4,0
untestable-code,com.jakubsprega.untestable.code.api,SmsMessage,15,0,0,0,6,0,3,0,3,0
untestable-code,com.jakubsprega.untestable.code.h,Silencer,3,0,0,0,1,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.h,Car,21,0,0,0,8,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.h,Body,3,0,0,0,1,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.h,CarMechanic,16,0,0,0,6,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.h,Chassis,9,0,0,0,4,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.h,Cylinder,3,0,0,0,1,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.h,Engine,9,0,0,0,4,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.g,ConsolePrinter,25,0,4,0,8,0,6,0,3,0
untestable-code,com.jakubsprega.untestable.code.g,TextFormat,34,0,0,0,4,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.f,GoogleResult,22,0,0,0,5,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.f,GoogleClient,51,0,0,0,11,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.f,GoogleResult.ResponseData,22,0,0,0,5,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.f,GoogleResult.Result,34,0,0,0,8,0,6,0,6,0
untestable-code,com.jakubsprega.untestable.code.e,WeatherWidget,18,0,4,0,7,0,4,0,2,0
untestable-code,com.jakubsprega.untestable.code.e,YahooWeatherHelper,22,0,0,0,7,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.e,WeatherIcon,45,0,0,0,7,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.d,OutgoingCall,5,0,0,0,2,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.d,PhoneSettings,24,0,0,0,8,0,5,0,5,0
untestable-code,com.jakubsprega.untestable.code.d,IncomingCall,5,0,0,0,2,0,1,0,1,0
untestable-code,com.jakubsprega.untestable.code.d,SonyPhone,23,0,0,0,9,0,5,0,5,0
untestable-code,com.jakubsprega.untestable.code.d,Call,15,0,0,0,6,0,3,0,3,0
untestable-code,com.jakubsprega.untestable.code.c,WindowsGsmModule,6,0,0,0,4,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.c,WindowsPhone,26,0,0,0,9,0,3,0,3,0
untestable-code,com.jakubsprega.untestable.code.b,IPhone,24,0,0,0,9,0,4,0,4,0
untestable-code,com.jakubsprega.untestable.code.b,VirginMobile,5,0,0,0,2,0,2,0,2,0
untestable-code,com.jakubsprega.untestable.code.b,AppleGsmModule,60,0,0,0,16,0,6,0,6,0
